5
50
0.000010	0.99914	1.794221
0.000013	0.99894	1.795850
0.000016	0.99868	1.797910
0.000020	0.99837	1.800516
0.000026	0.99798	1.803810
0.000032	0.99749	1.807975
0.000041	0.99689	1.813241
0.000052	0.99614	1.819898
0.000066	0.99522	1.828312
0.000083	0.99407	1.838945
0.000105	0.99266	1.852378
0.000133	0.99090	1.869345
0.000168	0.98874	1.890767
0.000212	0.98606	1.917801
0.000268	0.98276	1.951896
0.000339	0.97870	1.994867
0.000429	0.97370	2.048972
0.000543	0.96757	2.117020
0.000687	0.96006	2.202477
0.000869	0.95091	2.309606
0.001099	0.93979	2.443599
0.001389	0.92635	2.610726
0.001758	0.91020	2.818462
0.002223	0.89092	3.075581
0.002812	0.86810	3.392169
0.003556	0.84135	3.779528
0.004498	0.81036	4.249879
0.005690	0.77495	4.815829
0.007197	0.73508	5.489527
0.009103	0.69096	6.281501
0.011514	0.64306	7.199203
0.014563	0.59213	8.245418
0.018421	0.53913	9.416748
0.023300	0.48523	10.702500
0.029471	0.43168	12.084270
0.037276	0.37967	13.536463
0.047149	0.33029	15.027776
0.059636	0.28439	16.523464
0.075431	0.24255	17.988042
0.095410	0.20511	19.387976
0.120679	0.17213	20.693968
0.152642	0.14350	21.882560
0.193070	0.11895	22.936959
0.244205	0.09811	23.847128
0.308884	0.08059	24.609287
0.390694	0.06597	25.225026
0.494171	0.05385	25.700216
0.625055	0.04385	26.043870
0.790604	0.03564	26.267088
1.000000	0.02892	26.382127
50
0.000010	0.999422	0.864024
0.000013	0.999283	0.865091
0.000016	0.999110	0.866440
0.000020	0.998896	0.868147
0.000026	0.998631	0.870305
0.000032	0.998301	0.873033
0.000041	0.997893	0.876484
0.000052	0.997386	0.880846
0.000066	0.996758	0.886362
0.000083	0.995980	0.893334
0.000105	0.995016	0.902146
0.000133	0.993822	0.913281
0.000168	0.992344	0.927349
0.000212	0.990516	0.945115
0.000268	0.988258	0.967545
0.000339	0.985469	0.995847
0.000429	0.982030	1.031539
0.000543	0.977795	1.076513
0.000687	0.972590	1.133129
0.000869	0.966207	1.204315
0.001099	0.958401	1.293686
0.001389	0.948888	1.405675
0.001758	0.937341	1.545676
0.002223	0.923396	1.720187
0.002812	0.906657	1.936935
0.003556	0.886709	2.204954
0.004498	0.863142	2.534584
0.005690	0.835581	2.937337
0.007197	0.803731	3.425562
0.009103	0.767430	4.011853
0.011514	0.726697	4.708141
0.014563	0.681788	5.524469
0.018421	0.633225	6.467496
0.023300	0.581796	7.538898
0.029471	0.528525	8.733908
0.037276	0.474596	10.040313
0.047149	0.421254	11.438221
0.059636	0.369688	12.900762
0.075431	0.320935	14.395754
0.095410	0.275797	15.888086
0.120679	0.234813	17.342454
0.152642	0.198252	18.725997
0.193070	0.166147	20.010467
0.244205	0.138344	21.173682
0.308884	0.114555	22.200196
0.390694	0.094408	23.081261
0.494171	0.077494	23.814237
0.625055	0.063399	24.401649
0.790604	0.051723	24.850077
1.000000	0.042101	25.169028
50
0.000010	0.999516	1.075074
