5
10
  0.000100   1.000000	 1.000000
  0.000300   1.000000	 1.000000
  0.001000   0.995000	 1.400000
  0.003000   0.930000	 2.500000
  0.010000   0.820000	 4.500000
  0.030000   0.635000	 7.700000
  0.100000   0.400000	11.600000
  0.300000   0.210000	16.000000
  1.000000   0.090000	19.800000
  3.000000   0.035000	23.300000
10
  0.000100   1.000000	 1.200000	
  0.000300   1.000000	 1.200000	
  0.001000   0.990000	 1.400000	
  0.003000   0.946000	 2.100000	
  0.010000   0.820000	 3.600000	
  0.030000   0.608000	 7.000000	
  0.100000   0.360000	12.400000	
  0.300000   0.165000	19.100000	
  1.000000   0.060000	24.900000	
  3.000000   0.030000	28.000000	
10
  0.000100   1.000000	  1.000000
  0.000300   1.000000	  1.000000
  0.001000   1.000000	  1.200000
  0.003000   0.970000	  1.640000
  0.010000   0.870000	  2.800000
  0.030000   0.680000	  5.490000
  0.100000   0.430000	 10.200000
  0.300000   0.220000	 16.500000
  1.000000   0.090000	 22.900000
  3.000000   0.050000	 27.000000
10
  0.000100   1.000000	 0.800000
  0.000300   1.000000	 0.900000
  0.001000   1.000000	 1.000000
  0.003000   0.980000	 1.330000
  0.010000   0.900000	 2.200000
  0.030000   0.740000	 4.360000
  0.100000   0.500000	 8.600000
  0.300000   0.270000	14.610000
  1.000000   0.120000	21.200000
  3.000000   0.070000	25.000000
10
  0.000100   1.000000	 0.700000
  0.000300   1.000000	 0.800000
  0.001000   1.000000	 0.800000
  0.003000   0.988000	 1.120000
  0.010000   0.930000	 1.800000
  0.030000   0.791000	 3.530000
  0.100000   0.570000	 7.100000
  0.300000   0.321000	12.780000
  1.000000   0.150000	19.300000
  3.000000   0.090000	23.000000
